PC,cell_type_compound,cell_type,compound,cell_id,compound_cell_id,all_cells - chanel_3 Gabor Max 2 px w2 - Mean per Well,all_cells - chanel_2 Area,all_cells - chanel_3 SER Ridge 1 px - Mean per Well,all_cells - chanel_3_intensity Mean - Mean per Well,spotschan3_intensitymean_div_chan2area,chan3_intensitymean_div_chan2area,all_cells - chanel_1 Area,ir_chanel_3_at - Intensity ir_chanel_3_at chanel_3 Mean - Mean per Well,spots_chanel_3_final - Region Intensity - Mean per Well,spots_chanel_3_final - Spot to Region Intensity - Mean per Well,spots_chanel_3_final - Corrected Spot Intensity - Mean per Well
24s,HC_UT,HC,UT,969.0,UT_969.0,-0.556875755726302,2.4502875518775684,-0.9721185525268476,2.059368684090184,-26.333136467846305,-6.542100792871913,0.6231863305479431,5.205670213946073,0.6816018181090144,0.1703762853678429,0.7718790970181594
24s,HC_T,HC,T,969.0,T_969.0,-0.5540123738438396,2.448770582235652,-0.9718158435648026,1.6898908216830388,-32.6667557400499,-6.884741573699954,0.6231660954035227,5.041677968820855,0.6809801992034241,0.2277748407408176,0.7702378604907272
24s,HC_UT,HC,UT,969.0,UT_969.0,-0.5554397621993615,2.4444087679020545,-0.9712385655643836,1.9430697726219492,-26.686491260874245,-6.508981116721818,0.6231707585839933,4.941122068753165,0.6813213670649846,0.1974808008628732,0.7711256306896662
24s,HC_UT,HC,UT,969.0,UT_969.0,-0.5554037637137156,2.452160858556318,-0.97348547397635,1.6790062213398018,-35.5202534766088,-6.987274961837842,0.6231819908671159,4.842505182802395,0.6809218316946352,0.2469149527602918,0.770085403078581
24s,HC_UT,HC,UT,969.0,UT_969.0,-0.5516395770396665,2.4436126269363103,-0.9747044775845812,1.0850449546913843,-37.80995128754813,-7.39920551642863,0.6231659275921756,4.80359128849497,0.6800754127178413,0.274230271271089,0.7678537915367478
24s,HC_T,HC,T,969.0,T_969.0,-0.5538939119955709,2.444881261115332,-0.9775735427893454,1.0884825572804575,-38.19663504049262,-7.427994762775033,0.623169679362713,4.722260145361913,0.6801130789072475,0.3023093384181951,0.7680047424193652
24s,HC_UT,HC,UT,969.0,UT_969.0,-0.5544297735417156,2.440152457465248,-0.975654238869285,1.3784537846030682,-32.27752272110068,-6.995056498494789,0.6231321264866199,4.816301442118733,0.6804755876916444,0.2656230005522403,0.7689149590696627
24s,HC_T,HC,T,969.0,T_969.0,-0.5513081990312492,2.4489045034794894,-0.969806381986304,1.4635398363042225,-37.38594457330315,-7.127880089589898,0.6231803815022416,4.868623439851553,0.6805274087427069,0.2485135120031902,0.7690436808228719
24s,L_UT,L,UT,412.0,UT_412.0,-0.5515807580390552,2.453120276513839,-0.9675651932637944,1.7680273698566518,-38.110774014661,-6.920173227077789,0.6232182575313431,4.867457893188101,0.6807562932917842,0.2515985103056268,0.7696353719844093
24s,L_UT,L,UT,412.0,UT_412.0,-0.5512874876784878,2.4466212658558453,-0.9721028235389674,1.340715337129285,-37.06593828632789,-7.1993572878484775,0.6232197628097744,4.781976097036302,0.6803811288541048,0.3051941777440462,0.7686927469759984
24s,L_T,L,T,412.0,T_412.0,-0.5505182457952558,2.4570365255992077,-0.9756742033017566,0.6942687684179851,-54.17124839368431,-8.201520180815386,0.6232258229831136,4.553602095516454,0.679575415726011,0.2777644138533871,0.7665101173865867
24s,L_UT,L,UT,412.0,UT_412.0,-0.5498900626036687,2.457508788731983,-0.9712968875097414,1.1679877495079027,-48.919947841689066,-7.686866268301808,0.6232219120772438,4.742032613630346,0.68010043624083,0.2793273439205747,0.7679522613653902
24s,L_T,L,T,412.0,T_412.0,-0.5504689636536436,2.4594012456380216,-0.9737554682328672,0.910497485814688,-55.513478048747615,-8.027736210022782,0.6232267674890598,4.654035251819604,0.6797049029332185,0.2661164150134193,0.7668401199394997
24s,HC_T,HC,T,565.0,T_565.0,-0.5435547775953204,2.4479051935556138,-0.9609920056825452,1.7940922363653722,-35.37831737458888,-6.753035476656649,0.6232351205533647,4.786296123800082,0.6806630939265669,0.2670603051177567,0.7693971802793509
24s,HC_UT,HC,UT,565.0,UT_565.0,-0.5464658444059297,2.449706714777496,-0.9657803004550004,1.4965040552337523,-41.16815747694988,-7.114135751578862,0.6232237878724488,4.818930711363285,0.6802114885888421,0.251220872230265,0.7681759699345359
24s,HC_T,HC,T,565.0,T_565.0,-0.5430050570530653,2.446270400392868,-0.9653510960683102,1.154089834378584,-43.26110120489177,-7.392347446772785,0.6232254461840817,4.625298134777975,0.6796557851324785,0.2993005519289458,0.7667541227844363
24s,HC_UT,HC,UT,5400.0,UT_5400.0,-0.5526375080384975,2.4452410151607307,-0.9627299371894406,2.3457657893920087,-25.1360759918272,-6.121610818500289,0.6231858416020792,4.931658740381428,0.6815083269932238,0.1680617068844751,0.7715980249210143
24s,HC_T,HC,T,5400.0,T_5400.0,-0.5516207186969803,2.445153028140766,-0.9605317965923929,2.397836270126304,-24.562139579199748,-6.0674183575102125,0.6231917586231142,5.017850178095896,0.6815563125221867,0.1565483236889622,0.7717227492578215
24s,HC_UT,HC,UT,5400.0,UT_5400.0,-0.5506480524834825,2.450897580281949,-0.9668809329703149,1.81157971375888,-35.34653985309582,-6.814218802378097,0.6231970444681538,4.816987232665973,0.6808636772210548,0.2421525160592458,0.7699189871358388
24s,HC_T,HC,T,5400.0,T_5400.0,-0.5489865702866764,2.4431030683835524,-0.9631080737735492,1.9874637332585237,-29.406406509495245,-6.43064159240576,0.6231874461765168,4.886121275900259,0.6809910910186914,0.2199470941132833,0.7702382789416999
24s,HC_UT,HC,UT,5400.0,UT_5400.0,-0.5505888129183544,2.449921196663984,-0.9746258235772342,0.9370397812752496,-44.96774935663022,-7.728391298418102,0.6231942222952447,4.641228742911125,0.6798024682507454,0.2713510859812219,0.7671479806986577
24s,HC_T,HC,T,5400.0,T_5400.0,-0.5486326520429056,2.4406395077459955,-0.9693606306584504,1.3771142581015745,-33.30903370648647,-7.00849133168814,0.6231682448874489,4.835542435437441,0.6803758811230362,0.248252834887751,0.7686783920079373
24s,HC_UT,HC,UT,5400.0,UT_5400.0,-0.5509118536409837,2.4444162042745323,-0.975537751006318,0.9619858939689588,-38.13723361645321,-7.555190027503012,0.6231881550747517,4.679120324291402,0.6800783966434318,0.2578554525486606,0.7679238805823193
24s,HC_T,HC,T,5400.0,T_5400.0,-0.5499487475355311,2.4481142766744486,-0.9717127539002094,1.3290389616658909,-36.92500647126303,-7.251157566832681,0.6231944260309579,4.768540615639906,0.6804944143557287,0.2665600708572467,0.7690187722289339
24s,HC_UT,HC,UT,5400.0,UT_5400.0,-0.5496710555473355,2.441927766830636,-0.972663854389045,1.211780283771495,-34.771346755825874,-7.218555773647011,0.6231856278702674,4.783108197078456,0.6802798892202855,0.2479221480011552,0.7684630955068776
24s,E_UT,E,UT,654.0,UT_654.0,-0.5507405030084239,2.4609869723642106,-0.9605741675393548,2.125254685192993,-41.92293857843848,-6.774977095817319,0.623259592582722,4.864557689488362,0.680990105282367,0.2115303985434881,0.7701965835766896
24s,E_T,E,T,654.0,T_654.0,-0.5437998819750344,2.458767113387656,-0.9605341973198884,1.7642508096168468,-48.24769961574635,-7.084043893870612,0.6232190880919951,4.791783054432536,0.6802860026956206,0.2685729342532097,0.768405300379983
24s,E_UT,E,UT,654.0,UT_654.0,-0.5468967633344831,2.4644866089718067,-0.9686427794992136,1.0984245416582124,-61.646834630479766,-7.974430819570712,0.6232153859850293,4.678451725477764,0.6797219156670062,0.2793682225339298,0.7668786544188742
24s,E_UT,E,UT,654.0,UT_654.0,-0.5501284621026318,2.4581757059234035,-0.971799216636122,1.1397601528138654,-52.51876450199647,-7.7373314095362575,0.6232346285744621,4.69087781859073,0.6798584482077558,0.2460762342639474,0.7672421871220303
